patch_id,solver,measurement_residual,coefficient_error,DC_error,AC_error,patch_psnr
100,LASSO-ADMM,0.088871,2.329941,1.762640,1.523720,10.71
101,ASL-SR-DPT,0.672582,1.636474,1.048132,1.256769,13.78
101,OMP,0.000000,0.977246,0.133218,0.968123,18.26
101,LASSO-ADMM,0.075952,2.285501,1.637690,1.594205,10.88
102,ASL-SR-DPT,0.776692,1.676293,1.004982,1.341629,13.57
102,OMP,0.000024,0.656265,0.097380,0.649000,21.72
102,LASSO-ADMM,0.084394,2.170614,1.555291,1.514145,11.33
103,ASL-SR-DPT,0.632695,1.230568,0.670661,1.031751,16.26
103,OMP,0.000040,0.756294,0.072287,0.752831,20.49
103,LASSO-ADMM,0.095070,2.070691,1.456265,1.472091,11.74
104,ASL-SR-DPT,0.651163,1.761283,1.029398,1.429146,13.15
104,OMP,0.000000,0.844696,0.087464,0.840156,19.53
104,LASSO-ADMM,0.083006,2.312585,1.571588,1.696514,10.78
105,ASL-SR-DPT,0.669493,1.694010,0.970004,1.388799,13.48
105,OMP,0.000000,0.919622,0.154192,0.906603,18.79
105,LASSO-ADMM,0.088545,2.166038,1.490517,1.571648,11.35
106,ASL-SR-DPT,0.725650,1.306851,0.752310,1.068593,15.74
106,OMP,0.000000,0.950241,0.170716,0.934780,18.51
106,LASSO-ADMM,0.076842,2.353622,1.584408,1.740456,10.63
107,ASL-SR-DPT,0.726281,1.516268,0.920313,1.205027,14.45
107,OMP,0.000001,0.952792,0.224140,0.926053,18.48
107,LASSO-ADMM,0.086132,2.142097,1.496018,1.533137,11.45
108,ASL-SR-DPT,0.747541,1.395506,0.706480,1.203463,15.17
108,OMP,0.000000,1.146124,0.159165,1.135018,16.88
108,LASSO-ADMM,0.090255,1.812143,1.129156,1.417346,12.90
109,ASL-SR-DPT,0.648199,0.897071,0.199783,0.874542,19.01
109,OMP,0.000000,1.018371,0.228249,0.992463,17.90
109,LASSO-ADMM,0.085031,1.415514,0.784126,1.178484,15.04
110,ASL-SR-DPT,0.704367,0.836977,0.145625,0.824211,19.61
110,OMP,0.000000,0.726905,0.243973,0.684740,20.83
110,LASSO-ADMM,0.079773,1.122609,0.702122,0.875942,17.06
111,ASL-SR-DPT,0.501215,0.596523,0.190915,0.565148,22.55
111,OMP,0.000000,0.611392,0.042479,0.609914,22.34
111,LASSO-ADMM,0.075767,0.939642,0.536215,0.771622,18.60
112,ASL-SR-DPT,0.412080,0.563443,0.139111,0.546000,23.04
112,OMP,0.000000,0.621881,0.118802,0.610428,22.19
112,LASSO-ADMM,0.084294,0.866307,0.469267,0.728201,19.31
113,ASL-SR-DPT,0.525350,0.475419,0.086892,0.467411,24.52
113,OMP,0.000033,0.918830,0.045248,0.917715,18.80
113,LASSO-ADMM,0.075310,1.126057,0.617118,0.941898,17.03
114,ASL-SR-DPT,0.589296,0.552911,0.251293,0.492506,23.21
