patch_id,noise_sigma,config,support_size,M,support_ratio_M,cond_A_S,cond_ATA,rank_A_S,variance_amplification_tr,pre_debias_residual,post_debias_residual,psnr
69,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.7965313035466789,0.7977977978223084,16.430133178764088
69,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.8187055346918266,1.269107618617223e-15,19.945897285900884
70,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.696141996552074,0.6968471892967953,20.86927147569881
70,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6899550481970228,8.301354211763259e-16,23.101846782585472
71,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5943387637896901,0.5951830177350943,18.697077590676873
71,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.8878443078753916,1.1398381569020913e-15,21.60344612034345
72,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.6147679116501346,0.6154745653098085,22.28083735392659
72,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5705063318982804,6.669590195957265e-16,24.159316572778415
73,15.0,A5,2,38,0.05263157894736842,1.239019926381448,1.535170377970289,2,3.6031874199086555,0.4589955981632056,0.45812844718879564,23.424016611720976
73,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6775695948433466,9.109169079901836e-16,23.712139482041316
74,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3480148247031821,0.3483776313628433,35.26765095489536
74,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3812556976493571,3.5921763079496085e-16,26.004916735769683
75,15.0,A5,2,38,0.05263157894736842,1.239019926381448,1.535170377970289,2,3.6031874199086555,1.2218507500254143,1.2229004674729278,12.455472624900693
75,15.0,A5A6,1,37,0.02702702702702703,1.0,1.0,1,1.3097607682985322,1.493525228743647,1.495170763374404,11.866136991633049
76,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,1.1063317413168832,1.1041984716750526,14.450245938937796
76,15.0,A5A6,1,37,0.02702702702702703,1.0,1.0,1,1.6007584559524684,1.1162956922651759,1.117918020460176,14.516709828393463
77,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.7186673015045549,0.7197516054505898,20.181756937912883
77,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.650361472068084,1.0662251212413433e-15,22.32606150539414
78,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4932164875891595,0.49392119455993533,26.526541241904937
78,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5218334475476906,7.369701715101755e-16,24.907060018796066
79,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4475332887340221,0.4477079959246062,27.003344872152137
79,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.43960360805634086,5.302446213989101e-16,24.594367424265776
80,15.0,A5,64,38,1.6842105263157894,6.204741459133662,38.49881657469213,38,99.57301119501133,0.6368696597525515,1.1053908584476523e-15,21.68787087146424
80,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3582946341945315,5.428023283382488e-16,25.807606630897837
